Age,Fav genre
18,Latin
63,Rock
18,Video game music
61,Jazz
18,R&B
18,Jazz
18,Video game music
21,K pop
19,Rock
18,R&B
18,Country
19,EDM
,Hip hop
19,Country
18,Jazz
17,Pop
16,Hip hop
16,Hip hop
17,Rap
15,Hip hop
15,Hip hop
17,Rap
19,R&B
18,Pop
16,Rock
18,Pop
14,Rock
18,Pop
17,Pop
17,Pop
20,Rock
19,Classical
19,Metal
17,Rock
16,Classical
18,Pop
21,Pop
17,Pop
26,Rock
20,EDM
23,Video game music
18,Rock
37,Video game music
17,Classical
18,Metal
17,Folk
36,Classical
24,Rock
18,Metal
19,Pop
17,EDM
16,K pop
23,Rap
23,Pop
22,Rock
16,Classical
18,Rock
42,Rock
23,Folk
23,Video game music
19,K pop
22,Rock
15,Rock
25,Metal
32,Rock
36,Metal
24,Rock
29,Hip hop
41,Metal
36,Rock
19,Rock
31,Rock
16,Rock
26,Hip hop
22,Hip hop
16,Jazz
17,Metal
19,R&B
18,EDM
18,Hip hop
19,Rock
19,Jazz
22,K pop
16,Rock
19,R&B
37,Rock
14,Jazz
33,Metal
26,R&B
32,Hip hop
30,Metal
43,Video game music
24,Classical
36,Rock
19,Video game music
22,Metal
20,EDM
31,Rock
19,Metal
15,Rock
18,Metal
25,Classical
17,Metal
28,Rock
20,Rock
21,Metal
41,Pop
20,Pop
34,Metal
21,Metal
23,Metal
16,Pop
19,Pop
22,Rock
19,K pop
23,Hip hop
23,Metal
22,EDM
17,Rock
28,Folk
23,Rock
19,Rock
17,Hip hop
21,Rock
29,Jazz
22,EDM
18,Pop
13,Rock
24,Metal
35,Rock
29,Video game music
28,Rock
32,Pop
32,EDM
21,Rock
18,Video game music
19,Classical
18,Pop
16,Pop
25,Pop
17,Lofi
16,Rap
27,Metal
53,Pop
25,EDM
34,Metal
22,Jazz
17,Jazz
26,Folk
19,EDM
21,Pop
32,Rock
21,Rock
25,Pop
26,Rock
21,Metal
17,Pop
28,Rock
41,Pop
18,Metal
22,R&B
18,K pop
49,EDM
21,Metal
27,Metal
19,Metal
27,Metal
27,Rock
19,K pop
42,Rock
60,Gospel
19,Metal
20,Pop
28,Metal
16,Video game music
18,R&B
34,Rock
18,Pop
21,Folk
38,Rock
17,Rock
35,Pop
21,Rock
25,R&B
18,K pop
16,Pop
19,Pop
31,Classical
26,Rock
16,Rock
26,Rock
17,R&B
22,Video game music
20,R&B
30,Rock
26,Pop
19,Rock
21,Country
33,Rock
28,Rock
25,Rock
22,Pop
19,Rock
44,Folk
22,Rock
26,Metal
23,Classical
17,R&B
42,Metal
30,Rock
35,Pop
20,Rock
18,Rap
21,Pop
19,Rock
37,Rock
31,Metal
29,Folk
20,Rock
36,Video game music
18,Rock
18,K pop
25,Pop
18,K pop
31,Pop
17,Pop
21,Folk
30,Country
40,Metal
64,Rock
14,Rock
26,Rock
35,Country
33,Rock
30,Folk
31,Metal
27,Folk
53,Pop
23,Metal
25,EDM
16,K pop
18,Rock
29,Classical
31,EDM
31,Rock
38,Pop
17,Classical
25,EDM
20,Metal
15,EDM
16,Lofi
20,EDM
23,Rap
22,Hip hop
15,Rock
17,Video game music
22,Video game music
21,Metal
19,Pop
32,Classical
34,Rock
18,Metal
21,Country
20,Country
19,Country
25,Pop
31,Classical
21,Pop
31,Folk
20,Pop
19,Rock
19,EDM
23,Metal
24,Video game music
20,Rock
15,Video game music
17,Hip hop
20,Video game music
14,Video game music
24,Metal
14,Video game music
23,Rock
28,Rock
22,Jazz
25,Rock
27,Pop
18,Rock
17,Pop
23,Rock
40,Rock
27,Rock
18,Pop
16,Metal
18,Rock
23,Jazz
15,Metal
20,Metal
16,Rock
16,Rock
20,Country
33,Metal
22,Rock
21,Hip hop
21,Metal
29,Rock
56,Pop
17,Pop
22,Pop
26,Pop
30,EDM
49,Folk
22,EDM
32,Rock
32,Rock
22,Country
17,Rock
21,Rock
17,Rock
25,Metal
15,Rock
13,Rap
38,Rock
23,Rock
17,Pop
59,Pop
22,Pop
17,Pop
27,Pop
23,Video game music
15,Rock
22,EDM
23,Lofi
19,Country
32,Rock
40,Rock
21,Country
21,Rock
23,Video game music
21,EDM
35,Folk
18,Hip hop
21,Pop
22,Video game music
23,Rock
13,Folk
19,K pop
33,Rock
18,Jazz
17,Classical
16,EDM
18,Rock
19,K pop
15,Rap
17,Pop
25,Lofi
24,Video game music
23,Jazz
16,EDM
25,Metal
16,EDM
20,Metal
17,Metal
29,Metal
20,Hip hop
16,Folk
21,Rock
16,Rock
43,Pop
32,Classical
10,Pop
27,Metal
24,Classical
18,Hip hop
17,Rock
19,Metal
16,Rock
64,Rock
33,Lofi
32,Rock
15,Pop
27,Metal
20,Rock
23,Pop
19,Classical
12,Classical
16,Classical
17,Video game music
14,Pop
32,Metal
20,Pop
54,Classical
18,K pop
14,Classical
13,Classical
19,Country
14,Classical
14,Classical
18,Rap
15,Folk
24,Classical
17,Pop
44,Rock
23,Rock
21,Rap
57,R&B
23,Rock
18,Pop
26,Hip hop
13,Classical
15,Classical
57,Rock
12,Classical
26,EDM
17,Country
17,Classical
69,Classical
17,R&B
32,Jazz
22,Classical
38,Metal
18,EDM
14,Classical
14,Video game music
19,Metal
20,Classical
18,Rock
30,K pop
31,Classical
72,Rock
73,R&B
16,Pop
19,Rap
16,Classical
12,Classical
39,Hip hop
15,K pop
14,R&B
21,Country
38,Video game music
23,Hip hop
16,EDM
21,Folk
13,Rap
16,Rock
18,Rock
21,Metal
17,Classical
24,Rock
14,Pop
25,Rock
22,Lofi
20,Rock
23,Pop
61,Rock
24,Video game music
34,Rock
49,Pop
33,Rock
22,Metal
38,Metal
23,Hip hop
34,Video game music
40,Metal
27,Hip hop
54,Rock
16,Rock
23,Video game music
35,Country
22,Folk
41,Metal
63,Rock
28,Rock
22,Country
58,Rock
58,Classical
67,Rock
70,Country
60,Rock
15,Pop
18,EDM
58,Hip hop
28,Lofi
22,Lofi
49,Classical
20,Rock
55,Rock
48,Metal
14,K pop
18,Pop
25,Pop
71,Gospel
60,Gospel
18,Video game music
19,Hip hop
74,Pop
36,Hip hop
14,Lofi
20,Hip hop
15,K pop
19,Rock
29,EDM
24,Metal
18,Pop
21,Rock
19,K pop
25,Video game music
28,Rock
27,Rap
60,Rock
25,Metal
60,Rock
43,Country
51,Rock
63,Rock
64,Classical
22,Pop
24,Folk
19,Pop
56,Pop
20,EDM
19,Video game music
20,Jazz
60,Rock
65,R&B
28,Metal
18,EDM
42,Rock
80,Classical
22,Pop
56,Jazz
20,Pop
15,Video game music
67,Rock
57,Gospel
22,Pop
17,Pop
19,Rock
50,Rock
24,Rock
67,Rock
18,Metal
20,Country
15,Pop
17,Pop
32,Folk
18,Rap
18,Rock
18,K pop
19,Pop
18,Rock
17,Rap
34,Classical
18,Pop
18,R&B
22,Video game music
18,Pop
19,Rock
25,Pop
17,R&B
25,Rock
18,R&B
21,K pop
24,Folk
16,K pop
18,Metal
18,R&B
16,Pop
68,Gospel
16,Video game music
21,R&B
53,R&B
29,Classical
18,Video game music
29,Pop
18,R&B
22,EDM
19,Pop
13,Video game music
26,Pop
14,Rock
27,Pop
26,Rock
59,Rock
30,Rock
27,Pop
18,Rap
23,Metal
18,Rock
40,Rock
24,Rock
23,Classical
56,R&B
29,R&B
16,Pop
18,Gospel
21,Lofi
32,Rock
22,Metal
17,Latin
18,EDM
18,R&B
24,Jazz
21,Pop
46,Rock
18,Hip hop
16,K pop
21,Video game music
19,Classical
20,Rap
21,Folk
56,Rock
21,Rock
20,Pop
21,Rock
25,Rock
33,Metal
20,Rock
17,Rock
24,Jazz
26,Jazz
17,Rock
16,Metal
27,Metal
28,Hip hop
48,Rock
19,Rap
21,Rock
21,Classical
15,Metal
20,Rock
21,Video game music
22,Folk
22,Rock
31,Rock
20,Metal
49,Classical
42,Metal
26,EDM
17,K pop
30,Metal
23,Folk
30,EDM
31,Metal
42,Classical
16,EDM
34,Metal
21,Pop
27,Pop
18,Folk
26,Metal
37,Rock
26,Folk
19,Pop
22,Rock
43,Rock
24,Rock
21,Pop
28,Rock
23,R&B
20,Rock
17,Metal
19,R&B
32,Metal
18,Folk
20,Rock
27,Rock
15,Rock
26,Rock
24,Pop
20,K pop
21,Pop
16,Video game music
21,Metal
27,Jazz
17,Rock
21,Classical
17,Folk
21,Rap
17,Rock
36,Country
18,R&B
18,K pop
18,Latin
18,R&B
18,Hip hop
18,Rap
18,Classical
18,Classical
18,R&B
20,R&B
19,Hip hop
17,Hip hop
23,Video game music
18,Pop
19,Pop
89,Rap
20,R&B
16,Rock
17,Country
16,Metal
20,Pop
30,Rock
37,Folk
44,Folk
21,Metal
19,Pop
23,Rock
26,Country
18,Video game music
35,Hip hop
16,Rock
19,Metal
23,Rock
17,Pop
29,Country
21,Pop
17,Metal
23,Rock
17,Metal
22,Video game music
17,Hip hop
19,Pop
19,Pop
16,Pop
19,Pop
13,Video game music
18,EDM
26,Metal
14,Country
21,Pop
21,R&B
17,Rock
18,Pop
19,Rap
19,Classical
29,Hip hop
